performance_id,week_number,fantasy_points,player_id,last_change_date
101,2023_1,15.2,101,2024-4-22
102,2023_1,12.5,102,2024-4-22
103,2023_1,9.8,103,2024-4-22
104,2023_1,14.0,104,2024-4-22
105,2023_1,7.5,105,2024-4-22
106,2023_1,13.2,106,2024-4-22
107,2023_1,11.0,107,2024-4-22
108,2023_1,5.4,108,2024-4-22
109,2023_1,15.3,109,2024-4-22
110,2023_1,10.1,110,2024-4-22
111,2023_1,8.7,111,2024-4-22
112,2023_1,14.3,112,2024-4-22
113,2023_1,6.9,113,2024-4-22
114,2023_1,10.5,114,2024-4-22
115,2023_1,9.2,115,2024-4-22
116,2023_1,7.6,116,2024-4-22
117,2023_1,8.1,117,2024-4-22
118,2023_1,11.4,118,2024-4-22
119,2023_1,12.0,119,2024-4-22
120,2023_1,10.6,120,2024-4-22
121,2023_2,13.0,101,2024-4-22
122,2023_2,9.5,102,2024-4-22
123,2023_2,11.8,103,2024-4-22
124,2023_2,12.2,104,2024-4-22
125,2023_2,8.5,105,2024-4-22
126,2023_2,10.2,106,2024-4-22
127,2023_2,14.1,107,2024-4-22
128,2023_2,6.3,108,2024-4-22
129,2023_2,13.7,109,2024-4-22
130,2023_2,9.1,110,2024-4-22
131,2023_2,7.8,111,2024-4-22
132,2023_2,15.1,112,2024-4-22
133,2023_2,5.7,113,2024-4-22
134,2023_2,11.6,114,2024-4-22
135,2023_2,10.8,115,2024-4-22
136,2023_2,8.4,116,2024-4-22
137,2023_2,12.5,117,2024-4-22
138,2023_2,6.5,118,2024-4-22
139,2023_2,14.8,119,2024-4-22
140,2023_2,7.3,120,2024-4-22
141,2023_1,25.3,121,2024-4-22
142,2023_2,28.1,121,2024-4-22
143,2023_1,18.4,122,2024-4-22
144,2023_2,19.7,122,2024-4-22
145,2023_1,22.9,123,2024-4-22
146,2023_2,14.6,123,2024-4-22
147,2023_1,27.1,124,2024-4-22
148,2023_2,16.3,124,2024-4-22
149,2023_1,15.8,125,2024-4-22
150,2023_2,17.4,125,2024-4-22
151,2023_1,23.5,126,2024-4-22
152,2023_2,12.9,126,2024-4-22
153,2023_1,20.2,127,2024-4-22
154,2023_2,30.1,127,2024-4-22
155,2023_1,21.9,128,2024-4-22
156,2023_2,18.7,128,2024-4-22
157,2023_1,26.4,129,2024-4-22
158,2023_2,15.5,129,2024-4-22
159,2023_1,24.8,130,2024-4-22
160,2023_2,22.3,130,2024-4-22
161,2023_1,20.6,131,2024-4-22
162,2023_2,25.7,131,2024-4-22
